time,open,high,low,close,volume,ema_fast,ema_mid,ema_slow,rsi,macd,bb_upper,bb_lower,atr,log_ret,vol_realized
2025-10-27 11:51:00+00:00,4057.1400000000003,4057.305,4055.45,4056.705,0,4059.5119028886243,4061.9081247133863,4070.272540282549,36.68141362584475,-1.0927455129676673,4062.1845738947727,4057.0454261052278,2.113568274874798,-8.997045154579553e-05,0.1976575139115431
2025-10-27 11:52:00+00:00,4056.755,4056.8,4055.385,4055.9,0,4059.1679121373268,4061.6725119795283,4070.1295299314793,34.47581435035637,-1.2499151153078856,4062.48687627384,4056.41462372616,2.063670540955167,-0.00019845659998019016,0.1872906043161359
2025-10-27 11:53:00+00:00,4055.88,4056.04,4039.365,4044.795,0,4057.7990633623435,4061.010648764645,4069.8774450565397,18.20956385259265,-2.244678591610409,4065.61458653385,4051.6409134661512,3.107336930886954,-0.002741741778081064,0.3503195965614905
2025-10-27 11:54:00+00:00,4044.83,4044.925,4040.045,4041.045,0,4056.2034382802153,4060.2276821464234,4069.5905550559773,15.542721329583202,-3.297616601914342,4067.954724785232,4047.3517752147686,3.2339557215378933,-0.0009275474827248331,0.360899134460425
2025-10-27 11:55:00+00:00,4041.075,4041.3450000000003,4025.865,4029.5649999999996,0,4053.66644415829,4059.0252240230348,4069.192290826565,10.481804608392792,-5.0007718338970335,4072.039186178466,4040.2083138215344,4.1086731699995065,-0.0028448922058412762,0.46731846553084483
2025-10-27 11:56:00+00:00,4029.545,4033.335,4025.215,4032.455,0,4051.6463066194046,4057.9832544535043,4068.8267456442118,17.743115401793617,-6.047622550306187,4073.6257701227073,4035.9102298772927,4.395196514999534,0.0007169419385686382,0.4788799697422878
2025-10-27 11:57:00+00:00,4032.3950000000004,4036.2250000000004,4030.4300000000003,4033.505,0,4049.9185631318423,4057.0233229063083,4068.4752854885483,20.273477468119168,-6.715125276264644,4074.307703884849,4032.617296115151,4.4951824782138585,0.00026035338779983874,0.48041312063270475
2025-10-27 11:58:00+00:00,4033.455,4039.425,4031.54,4036.35,0,4048.626319024048,4056.2126043609633,4068.1556309065727,26.840365249815576,-6.93462028633212,4074.2094213441414,4030.3880786558593,4.737312301198599,0.0007050932434022883,0.48857453123743855
2025-10-27 11:59:00+00:00,4036.35,4044.505,4035.3450000000003,4043.25,0,4048.114288640805,4055.704266935043,4067.907813683622,39.792929931289436,-6.477134949076117,4073.117633480469,4029.59286651953,5.053218565398688,0.0017080057620280087,0.5303655139412705
2025-10-27 12:00:00+00:00,4043.3,4050.1400000000003,4040.875,4048.74,0,4048.173880198824,4055.4311584277866,4067.717089169357,47.72340922387762,-5.606944044398915,4072.284073999395,4029.3554260006044,5.354060096441662,0.0013568975844844289,0.5489652239360975
2025-10-27 12:01:00+00:00,4048.7200000000003,4049.13,4042.535,4044.99,0,4047.8706535132214,4055.02170123454,4067.4909489786173,43.507779412952736,-5.16041904450185,4071.247723049234,4028.8927769507654,5.442698660981562,-0.0009266432827228499,0.55626961623012
2025-10-27 12:02:00+00:00,4045.02,4047.55,4044.125,4044.9700000000003,0,4047.5944007976764,4054.6275168724014,4067.266859934054,43.485716591595285,-4.753364767721905,4070.0902341264305,4028.5432658735685,5.2985773280543205,-4.9444002190313086e-06,0.554819865390134
2025-10-27 12:03:00+00:00,4045.06,4045.6099999999997,4042.46,4043.705,0,4047.223981674088,4054.1991828774057,4067.0324135665514,42.03381186241853,-4.481189881154023,4068.8449627353084,4028.1815372646915,5.145107518907557,-0.0003127829985292152,0.55055179665262
2025-10-27 12:04:00+00:00,4043.675,4044.95,4041.465,4044.945,0,4047.006935800365,4053.836273744959,4066.812638307183,44.0073185297243,-4.11796237878707,4067.5895349306256,4028.019965069373,5.026528410414137,0.00030660246387448353,0.5527573987849285
2025-10-27 12:05:00+00:00,4044.965,4049.9049999999997,4044.335,4044.34,0,4046.7529419146163,4053.4638708529997,4066.589029965818,43.23391387448455,-3.8347161888550545,4066.206017243204,4027.9299827567966,5.065347809670249,-0.00014958058743808067,0.5527477970861444
2025-10-27 12:06:00+00:00,4044.335,4047.24,4044.045,4046.415,0,4046.720756970367,4053.187444545039,4066.3882933492428,46.69413819193815,-3.4035721233663025,4064.2970108750364,4028.342989124963,4.931751537550925,0.0005129311283056381,0.5572445873253379
2025-10-27 12:07:00+00:00,4046.415,4046.595,4041.5699999999997,4041.64,0,4046.2368753541414,4052.7346035824885,4066.142041674126,40.56613611384335,-3.407905723072872,4062.2377182188998,4028.5227817810996,4.93841214201158,-0.0011807537299812765,0.5693381766324107
2025-10-27 12:08:00+00:00,4041.66,4042.425,4039.625,4041.1400000000003,0,4045.7514586537472,4052.2799132459204,4065.893265140055,39.974545350780645,-3.4123505009279143,4060.1369432245497,4028.80305677545,4.785668417582194,-0.00012371980943015615,0.5690902054057679
2025-10-27 12:09:00+00:00,4041.2200000000003,4044.105,4036.26,4036.425,0,4044.8632244962473,4051.658151942159,4065.6000485714976,34.81800934575641,-3.7530710476694367,4058.1575028794477,4028.6374971205523,5.004192102040595,-0.0011674311591445274,0.5727881268947939
2025-10-27 12:10:00+00:00,4036.4049999999997,4039.1850000000004,4032.0249999999996,4032.205,0,4043.6576793061286,4050.895283238545,4065.267759530985,30.967674085862413,-4.313885481183206,4056.273101325493,4028.035398674508,5.158178380466322,-0.0010460264963896293,0.578142273647361
2025-10-27 12:11:00+00:00,4032.135,4035.755,4030.3450000000003,4035.1049999999996,0,4042.84313841983,4050.2760564448768,4064.9676325704777,36.18988453830623,-4.472769889420761,4053.81276964521,4028.33573035479,5.176165639004432,0.000718950957608655,0.5862287468548201
